"Frequency (MHz)","Time (sec)","Time (%)"
"1846","147","12"
"1781","0","0"
"1703","0","0"
"1625","3","0"
"1495","2","0"
"1417","9","0"
"1274","6","0"
"1209","66","5"
"1092","919","78"
"949","1","0"
"832","0","0"
"741","0","0"
"650","0","0"
"559","0","0"
"468","2","0"
"325","8","0"
