"Pkg","Cls","Created count","Total created time","Total created time(ms)","Total created time(%)","Max created time(ms)","Avg created time(ms)","Resumed count","Total resumed time","Total resumed time(ms)","Total resumed time(%)","Max resumed time(ms)","Avg resumed time(ms)"
"com.tianyancha.skyeye",".follow.FragmentMyFollow","1","1m48s104ms","108104","81%","108104","108104","3","16s496ms","16496","12%","9716","5498"
"com.android.settings","com.qiku.android.settings.activities.YLUsbSettings","1","2m13s24ms","133024","100%","133024","133024","1","17ms","17","0%","17","17"
"com.tianyancha.skyeye",".MainActivity","1","1m48s104ms","108104","81%","108104","108104","0","0ms","0","0%","0",""
"com.tianyancha.skyeye",".activity.MyMonitoringActivity","3","8s226ms","8226","6%","3693","2742","3","1s779ms","1779","1%","1779","593"
"com.tianyancha.skyeye",".activity.follow.MyGroupActivity","1","1m49s52ms","109052","81%","109052","109052","0","0ms","0","0%","0",""
"com.yulong.android.launcher3",".Launcher","1","2m13s24ms","133024","100%","133024","133024","1","24s826ms","24826","18%","24826","24826"
