"Name","Active count","Event count","Wakeup count","Expire count","Active since (ms)","Total time (ms)","Total time (%)","Max time (ms)","Last change","Prevent Suspend Time"
"vib_preset  ","787","787","0","0","0","0","0","0","34146486","0"
"power-supply","1","1","0","0","0","0","0","0","1674","0"
"charger-wpc ","0","0","0","0","0","0","0","0","1661","0"
"charger-recovery","0","0","0","0","0","0","0","0","1661","0"
"charger-chgin","3125","3125","0","0","0","5","0","0","28314363","0"
"fuel_alerted","0","0","0","0","0","0","0","0","1656","0"
"power-supply","1","1","0","0","0","0","0","0","1654","0"
"qpnp-power-on-1","0","0","0","0","0","0","0","0","1645","0"
"mmc2_detect ","0","0","0","0","0","0","0","0","1590","0"
"mmc1_detect ","1","1","0","1","0","0","0","0","2930","0"
"mmc0_detect ","1","1","0","1","0","0","0","0","2240","0"
"bluesleep   ","33","68","0","33","0","0","0","0","29542000","0"
"qpnp-vadc-7 ","0","0","0","0","0","0","0","0","1531","0"
"qpnp-rtc-9  ","0","0","0","0","0","0","0","0","1465","0"
"resume_wakelock","3614","3614","0","3614","0","0","0","0","28280111","0"
"alarm_trigger","0","0","0","0","0","0","0","0","1465","0"
"alarm       ","3775","4329","215","0","0","0","0","0","34127737","0"
"alarm_rtc   ","1329","1432","251","0","0","0","0","0","28279051","0"
"cypress_touchkey","1","1","0","0","0","0","0","0","2120","0"
"msm_dwc3    ","15","15","0","0","5","26","0","5","28313390","0"
"power-supply","28","28","0","0","0","0","0","0","28313279","0"
"nfc_wake_lock","43","259","0","43","0","0","0","0","32946600","0"
"sec_misc    ","0","0","0","0","0","0","0","0","744","0"
"DIAG_WS     ","0","0","0","0","0","0","0","0","737","0"
"msm_serial_hs_dma","1","1","0","0","0","0","0","0","6731","0"
"msm_serial_hs_rx","2","15","0","2","0","0","0","0","7230","0"
"msm_serial_hs_dma","34","34","0","0","0","0","0","0","29541503","0"
"msm_serial_hs_rx","69","863","0","69","0","0","0","0","29542000","0"
"mhl_wake_lock","0","0","0","0","0","0","0","0","710","0"
"qmi2        ","0","0","0","0","0","0","0","0","533","0"
"qmi1        ","0","0","0","0","0","0","0","0","533","0"
"qmi0        ","0","0","0","0","0","0","0","0","533","0"
"SMDTTY_READ_IN_SUSPEND","0","0","0","0","0","0","0","0","533","0"
"ssr(venus)  ","0","0","0","0","0","0","0","0","526","0"
"pil-venus   ","4","4","0","0","0","0","0","0","28739650","0"
"ssr(modem)  ","0","0","0","0","0","0","0","0","524","0"
"pil-modem   ","0","0","0","0","0","0","0","0","524","0"
"pil-mba     ","1","1","0","0","0","0","0","0","9203","0"
"ssr(adsp)   ","0","0","0","0","0","0","0","0","522","0"
"pil-adsp    ","1","1","0","0","0","0","0","0","5310","0"
"19-0066     ","0","0","0","0","0","0","0","0","300","0"
"smsm_snapshot","8","8","0","0","0","0","0","0","15774","0"
"autosleep   ","0","0","0","0","0","0","0","0","20","0"
